Date,Open,High,Low,Close,Volume
1980-03-17,0.0,0.11332804907922071,0.07211785018444061,0.07211785018444061,34200
1980-03-18,0.07211785018444061,0.07211785018444061,0.07211785018444061,0.07211785018444061,0
1980-03-19,0.07211785018444061,0.07211785018444061,0.07211785018444061,0.07211785018444061,0
1980-03-20,0.07211785018444061,0.07211785018444061,0.07211785018444061,0.07211785018444061,0
1980-03-21,0.07211785018444061,0.07211785018444061,0.07211785018444061,0.07211785018444061,0
1980-03-24,0.07211785018444061,0.07211785018444061,0.07211785018444061,0.07211785018444061,0
1980-03-25,0.07211785018444061,0.07211785018444061,0.07211785018444061,0.07211785018444061,0
1980-03-26,0.07211785018444061,0.07211785018444061,0.07211785018444061,0.07211785018444061,0
1980-03-27,0.0,0.11332804907922071,0.07211785018444061,0.07211785018444061,2400
1980-03-28,0.0,0.123630590736866,0.08242039382457733,0.08242039382457733,27600
1980-03-31,0.08242039382457733,0.08242039382457733,0.08242039382457733,0.08242039382457733,0
1980-04-01,0.0,0.123630590736866,0.08242039382457733,0.08242039382457733,6600
1980-04-02,0.08242039382457733,0.08242039382457733,0.08242039382457733,0.08242039382457733,0
1980-04-03,0.0,0.13393315059260816,0.09272295236587524,0.09272295236587524,7800
1980-04-07,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-04-08,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-04-09,0.0,0.13393315059260816,0.09272295236587524,0.09272295236587524,1800
1980-04-10,0.0,0.123630590736866,0.08242039382457733,0.08242039382457733,14400
1980-04-11,0.08242039382457733,0.08242039382457733,0.08242039382457733,0.08242039382457733,0
1980-04-14,0.0,0.123630590736866,0.08242039382457733,0.08242039382457733,7800
1980-04-15,0.08242039382457733,0.08242039382457733,0.08242039382457733,0.08242039382457733,0
1980-04-16,0.08242039382457733,0.08242039382457733,0.08242039382457733,0.08242039382457733,0
1980-04-17,0.08242039382457733,0.08242039382457733,0.08242039382457733,0.08242039382457733,0
1980-04-18,0.08242039382457733,0.08242039382457733,0.08242039382457733,0.08242039382457733,0
1980-04-21,0.08242039382457733,0.08242039382457733,0.08242039382457733,0.08242039382457733,0
1980-04-22,0.08242039382457733,0.08242039382457733,0.08242039382457733,0.08242039382457733,0
1980-04-23,0.08242039382457733,0.08242039382457733,0.08242039382457733,0.08242039382457733,0
1980-04-24,0.0,0.13393315059260816,0.09272295236587524,0.09272295236587524,6600
1980-04-25,0.0,0.13393315059260816,0.09272295236587524,0.09272295236587524,6600
1980-04-28,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-04-29,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-04-30,0.0,0.13393315059260816,0.09272295236587524,0.09272295236587524,2400
1980-05-01,0.0,0.13393315059260816,0.09272295236587524,0.09272295236587524,6600
1980-05-02,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-05-05,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-05-06,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-05-07,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-05-08,0.0,0.13393315059260816,0.09272295236587524,0.09272295236587524,6600
1980-05-09,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-05-12,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-05-13,0.0,0.13393315059260816,0.09272295236587524,0.09272295236587524,6600
1980-05-14,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-05-15,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-05-16,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-05-19,0.0,0.13393315059260816,0.09272295236587524,0.09272295236587524,1200
1980-05-20,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-05-21,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-05-22,0.0,0.13393315059260816,0.09272295236587524,0.09272295236587524,14400
1980-05-23,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-05-27,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-05-28,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-05-29,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-05-30,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-06-02,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-06-03,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-06-04,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-06-05,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-06-06,0.0,0.13393315059260816,0.09272295236587524,0.09272295236587524,6600
1980-06-09,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-06-10,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-06-11,0.0,0.13393315059260816,0.09272295236587524,0.09272295236587524,7200
1980-06-12,0.0,0.13393315059260816,0.09272295236587524,0.09272295236587524,1800
1980-06-13,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-06-16,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-06-17,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-06-18,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-06-19,0.0,0.13393315059260816,0.09272295236587524,0.09272295236587524,2400
1980-06-20,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-06-23,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-06-24,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-06-25,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-06-26,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-06-27,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-06-30,0.0,0.13393315059260816,0.09272295236587524,0.09272295236587524,7200
1980-07-01,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-07-02,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-07-03,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-07-07,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-07-08,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-07-09,0.0,0.12363059468019871,0.09272295236587524,0.09272295236587524,13800
1980-07-10,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-07-11,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-07-14,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-07-15,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-07-16,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-07-17,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-07-18,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-07-21,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-07-22,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-07-23,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-07-24,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-07-25,0.0,0.12363059468019871,0.09272295236587524,0.09272295236587524,10200
1980-07-28,0.0,0.12363059468019871,0.09272295236587524,0.09272295236587524,13800
1980-07-29,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-07-30,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-07-31,0.0,0.12363059468019871,0.09272295236587524,0.09272295236587524,16200
1980-08-01,0.0,0.12363059468019871,0.09272295236587524,0.09272295236587524,6600
1980-08-04,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-08-05,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-08-06,0.0,0.12363059468019871,0.09272295236587524,0.09272295236587524,22200
1980-08-07,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-08-08,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-08-11,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-08-12,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-08-13,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-08-14,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-08-15,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-08-18,0.0,0.12363059468019871,0.09272295236587524,0.09272295236587524,13800
1980-08-19,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-08-20,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-08-21,0.0,0.12363059468019871,0.09272295236587524,0.09272295236587524,600
1980-08-22,0.0,0.12363059468019871,0.09272295236587524,0.09272295236587524,2400
1980-08-25,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-08-26,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-08-27,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-08-28,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-08-29,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-09-02,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-09-03,0.0,0.12363059468019871,0.09272295236587524,0.09272295236587524,600
1980-09-04,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-09-05,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-09-08,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-09-09,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-09-10,0.0,0.12363059468019871,0.09272295236587524,0.09272295236587524,1800
1980-09-11,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-09-12,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-09-15,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-09-16,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-09-17,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-09-18,0.09272295236587524,0.09272295236587524,0.09272295236587524,0.09272295236587524,0
1980-09-19,0.0,0.12363062588541897,0.10302552580833435,0.10302552580833435,10200
1980-09-22,0.10302552580833435,0.10302552580833435,0.10302552580833435,0.10302552580833435,0
1980-09-23,0.10302552580833435,0.10302552580833435,0.10302552580833435,0.10302552580833435,0
1980-09-24,0.10302552580833435,0.10302552580833435,0.10302552580833435,0.10302552580833435,0
1980-09-25,0.10302552580833435,0.10302552580833435,0.10302552580833435,0.10302552580833435,0
