Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2019-12-27,20.02,25.12,20.02,25.1,20.02,25.12,20.02,25.1,1206368.0,0.0,1.0,1.0,0.0
2019-12-30,24.86,24.93,24.86,24.93,24.86,24.93,24.86,24.93,100.0,0.0,1.0,1.0,30.11
2019-12-31,24.96,25.1,24.95,25.05,24.96,25.1,24.95,25.05,51600.0,0.0,1.0,1.0,-1.87
2020-01-02,25.05,25.11,25.05,25.11,25.05,25.11,25.05,25.11,161.0,0.0,1.0,1.0,0.0
2020-01-03,25.01,25.14,25.01,25.14,25.01,25.14,25.01,25.14,1200.0,0.0,1.0,1.0,0.0
2020-01-06,25.17,25.21,25.17,25.21,25.17,25.21,25.17,25.21,562.0,0.0,1.0,1.0,0.0
2020-01-07,25.23,25.32,25.22,25.3,25.23,25.32,25.22,25.3,2776.0,0.0,1.0,1.0,0.0
2020-01-08,25.45,25.47,25.27,25.36,25.45,25.47,25.27,25.36,1993.0,0.0,1.0,1.0,0.63
2020-01-09,25.56,25.57,25.53,25.57,25.56,25.57,25.53,25.57,2798.0,0.0,1.0,1.0,0.0
2020-01-10,25.6,25.62,25.52,25.52,25.6,25.62,25.52,25.52,2200.0,0.0,1.0,1.0,0.0
2020-01-13,25.63,25.92,25.63,25.85,25.63,25.92,25.63,25.85,24400.0,0.0,1.0,1.0,0.0
2020-01-14,26.0,26.0,25.7,25.7,26.0,26.0,25.7,25.7,7500.0,0.0,1.0,1.0,0.0
2020-01-15,25.84,25.84,25.75,25.77,25.84,25.84,25.75,25.77,400.0,0.0,1.0,1.0,0.64
2020-01-16,25.75,25.75,25.75,25.75,25.75,25.75,25.75,25.75,0.0,0.0,1.0,1.0,0.0
2020-01-17,26.02,26.27,26.0,26.1,26.02,26.27,26.0,26.1,9158.0,0.0,1.0,1.0,0.0
2020-01-21,26.14,26.16,26.14,26.16,26.14,26.16,26.14,26.16,1800.0,0.0,1.0,1.0,0.0
2020-01-22,26.34,26.35,26.34,26.35,26.34,26.35,26.34,26.35,200.0,0.0,1.0,1.0,0.0
2020-01-23,26.28,26.42,26.25,26.42,26.28,26.42,26.25,26.42,1068.0,0.0,1.0,1.0,0.0
2020-01-24,26.31,26.35,26.31,26.35,26.31,26.35,26.31,26.35,174.0,0.0,1.0,1.0,0.0
2020-01-27,26.03,26.15,26.03,26.11,26.03,26.15,26.03,26.11,9276.0,0.0,1.0,1.0,0.0
2020-01-28,26.41,26.41,26.38,26.37,26.41,26.41,26.38,26.37,200.0,0.0,1.0,1.0,0.0
2020-01-29,26.41,26.41,26.41,26.41,26.41,26.41,26.41,26.41,0.0,0.0,1.0,1.0,0.0
2020-01-30,26.25,26.52,26.25,26.52,26.25,26.52,26.25,26.52,100.0,0.0,1.0,1.0,0.0
2020-01-31,26.17,26.17,26.12,26.13,26.17,26.17,26.12,26.13,6169.0,0.0,1.0,1.0,0.0
2020-02-03,26.25,26.36,25.98,26.36,26.25,26.36,25.98,26.36,5700.0,0.0,1.0,1.0,0.0
2020-02-04,26.69,26.78,26.67,26.67,26.69,26.78,26.67,26.67,3800.0,0.0,1.0,1.0,1.97
2020-02-05,26.53,26.53,26.53,26.53,26.53,26.53,26.53,26.53,100.0,0.0,1.0,1.0,-2.0
2020-02-06,26.53,26.53,26.49,26.48,26.53,26.53,26.49,26.48,2100.0,0.0,1.0,1.0,0.0
2020-02-07,26.39,26.39,26.38,26.38,26.39,26.39,26.38,26.38,100.0,0.0,1.0,1.0,0.0
2020-02-10,26.63,26.63,26.59,26.63,26.63,26.63,26.59,26.63,1086.0,0.0,1.0,1.0,0.0
2020-02-11,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,0.0,0.0,1.0,1.0,0.0
2020-02-12,26.99,26.99,26.89,26.96,26.99,26.99,26.89,26.96,11653.0,0.0,1.0,1.0,0.0
2020-02-13,27.2,27.2,27.11,27.11,27.2,27.2,27.11,27.11,10900.0,0.0,1.0,1.0,0.0
2020-02-14,27.35,27.38,27.35,27.38,27.35,27.38,27.35,27.38,100.0,0.0,1.0,1.0,1.36
2020-02-18,27.49,27.49,27.38,27.43,27.49,27.49,27.38,27.43,6800.0,0.0,1.0,1.0,0.0
2020-02-19,27.41,27.41,27.41,27.41,27.41,27.41,27.41,27.41,0.0,0.0,1.0,1.0,0.0
2020-02-20,27.45,27.45,27.31,27.35,27.45,27.45,27.31,27.35,11072.0,0.0,1.0,1.0,0.0
2020-02-21,27.31,27.31,27.31,27.31,27.31,27.31,27.31,27.31,0.0,0.0,1.0,1.0,0.0
2020-02-24,26.38,26.5,26.27,26.27,26.38,26.5,26.27,26.27,30782.0,0.0,1.0,1.0,0.0
2020-02-25,26.0,26.0,25.49,25.49,26.0,26.0,25.49,25.49,7486.0,0.0,1.0,1.0,0.0
