Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2019-12-27,22.99,25.2,20.02,25.17,22.99,25.2,20.02,25.17,1048958.0,0.0,1.0,1.0,
2019-12-30,25.02,25.02,25.02,25.02,25.02,25.02,25.02,25.02,500.0,0.0,1.0,1.0,
2019-12-31,25.05,25.15,25.04,25.15,25.05,25.15,25.04,25.15,42476.0,0.0,1.0,1.0,
2020-01-02,25.19,25.24,25.19,25.24,25.19,25.24,25.19,25.24,162.0,0.0,1.0,1.0,0.0
2020-01-03,25.16,25.18,25.16,25.18,25.16,25.18,25.16,25.18,954.0,0.0,1.0,1.0,0.0
2020-01-06,25.19,25.19,25.19,25.19,25.19,25.19,25.19,25.19,281.0,0.0,1.0,1.0,0.0
2020-01-07,25.17,25.18,25.17,25.18,25.17,25.18,25.17,25.18,100.0,0.0,1.0,1.0,0.0
2020-01-08,25.17,25.17,25.17,25.17,25.17,25.17,25.17,25.17,0.0,0.0,1.0,1.0,0.0
2020-01-09,25.47,25.52,25.47,25.5,25.47,25.52,25.47,25.5,3000.0,0.0,1.0,1.0,0.0
2020-01-10,25.54,25.54,25.47,25.47,25.54,25.54,25.47,25.47,2173.0,0.0,1.0,1.0,-0.69
2020-01-13,25.55,25.71,25.55,25.7,25.55,25.71,25.55,25.7,22800.0,0.0,1.0,1.0,0.0
2020-01-14,26.0,26.0,25.61,25.62,26.0,26.0,25.61,25.62,9774.0,0.0,1.0,1.0,0.0
2020-01-15,25.8,25.93,25.73,25.73,25.8,25.93,25.73,25.73,4700.0,0.0,1.0,1.0,1.28
2020-01-16,25.85,25.88,25.84,25.84,25.85,25.88,25.84,25.84,700.0,0.0,1.0,1.0,0.0
2020-01-17,26.02,26.09,26.0,26.09,26.02,26.09,26.0,26.09,7500.0,0.0,1.0,1.0,0.0
2020-01-21,26.15,26.15,26.11,26.11,26.15,26.15,26.11,26.11,880.0,0.0,1.0,1.0,0.0
2020-01-22,26.11,26.11,26.11,26.11,26.11,26.11,26.11,26.11,0.0,0.0,1.0,1.0,0.0
2020-01-23,26.16,26.28,26.15,26.28,26.16,26.28,26.15,26.28,563.0,0.0,1.0,1.0,0.0
2020-01-24,26.33,26.33,26.09,26.11,26.33,26.33,26.09,26.11,3100.0,0.0,1.0,1.0,0.0
2020-01-27,25.82,25.89,25.81,25.81,25.82,25.89,25.81,25.81,9358.0,0.0,1.0,1.0,0.0
2020-01-28,26.11,26.11,26.07,26.07,26.11,26.11,26.07,26.07,100.0,0.0,1.0,1.0,0.0
2020-01-29,26.11,26.11,26.11,26.11,26.11,26.11,26.11,26.11,0.0,0.0,1.0,1.0,0.0
2020-01-30,26.01,26.07,26.01,26.07,26.01,26.07,26.01,26.07,1274.0,0.0,1.0,1.0,0.0
2020-01-31,25.97,25.97,25.91,25.91,25.97,25.97,25.91,25.91,3000.0,0.0,1.0,1.0,0.0
2020-02-03,26.13,26.18,25.98,26.14,26.13,26.18,25.98,26.14,9300.0,0.0,1.0,1.0,0.0
2020-02-04,26.52,26.52,26.44,26.44,26.52,26.52,26.44,26.44,1080.0,0.0,1.0,1.0,0.0
2020-02-05,26.57,26.59,26.57,26.58,26.57,26.59,26.57,26.58,690.0,0.0,1.0,1.0,14.54
2020-02-06,26.75,26.78,26.75,26.76,26.75,26.78,26.75,26.76,5300.0,0.0,1.0,1.0,-14.62
2020-02-07,26.76,26.76,26.74,26.74,26.76,26.76,26.74,26.74,200.0,0.0,1.0,1.0,0.0
2020-02-10,26.86,26.91,26.86,26.91,26.86,26.91,26.86,26.91,300.0,0.0,1.0,1.0,0.0
2020-02-11,26.86,26.86,26.86,26.86,26.86,26.86,26.86,26.86,0.0,0.0,1.0,1.0,0.0
2020-02-12,27.1,27.14,27.05,27.12,27.1,27.14,27.05,27.12,13196.0,0.0,1.0,1.0,0.0
2020-02-13,27.3,27.3,27.16,27.16,27.3,27.3,27.16,27.16,10877.0,0.0,1.0,1.0,0.0
2020-02-14,27.33,27.33,27.3,27.3,27.33,27.33,27.3,27.3,100.0,0.0,1.0,1.0,1.36
2020-02-18,27.31,27.31,27.27,27.3,27.31,27.31,27.27,27.3,5700.0,0.0,1.0,1.0,0.0
2020-02-19,27.56,27.57,27.48,27.48,27.56,27.57,27.48,27.48,500.0,0.0,1.0,1.0,0.0
2020-02-20,27.35,27.35,27.29,27.29,27.35,27.35,27.29,27.29,8800.0,0.0,1.0,1.0,0.0
2020-02-21,27.35,27.35,27.35,27.35,27.35,27.35,27.35,27.35,0.0,0.0,1.0,1.0,0.0
2020-02-24,26.33,26.4,26.06,26.06,26.33,26.4,26.06,26.06,31293.0,0.0,1.0,1.0,0.0
2020-02-25,25.5,25.5,25.36,25.36,25.5,25.5,25.36,25.36,300.0,0.0,1.0,1.0,0.0
2020-02-26,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,0.0,0.0,1.0,1.0,0.0
2020-02-27,24.75,24.83,24.23,24.23,24.75,24.83,24.23,24.23,4300.0,0.0,1.0,1.0,0.0
2020-02-28,23.44,24.12,23.38,23.95,23.44,24.12,23.38,23.95,14200.0,0.0,1.0,1.0,0.0
2020-03-02,24.29,25.25,24.29,25.25,24.29,25.25,24.29,25.25,16400.0,0.0,1.0,1.0,0.0
2020-03-03,24.68,24.8,24.66,24.8,24.68,24.8,24.66,24.8,3100.0,0.0,1.0,1.0,0.0
2020-03-04,24.96,25.69,24.93,25.69,24.96,25.69,24.93,25.69,7558.0,0.0,1.0,1.0,0.0
2020-03-05,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,0.0,0.0,1.0,1.0,1.28
2020-03-06,24.45,24.58,23.94,24.58,24.45,24.58,23.94,24.58,9696.0,0.0,1.0,1.0,0.0
2020-03-09,23.87,23.87,23.04,23.04,23.87,23.87,23.04,23.04,14165.0,0.0,1.0,1.0,0.0
2020-03-10,23.74,24.04,23.18,24.04,23.74,24.04,23.18,24.04,4350.0,0.0,1.0,1.0,0.0
2020-03-11,23.29,23.29,23.29,23.29,23.29,23.29,23.29,23.29,0.0,0.0,1.0,1.0,0.0
2020-03-12,20.96,21.98,20.96,21.98,20.96,21.98,20.96,21.98,5687.0,0.0,1.0,1.0,0.0
2020-03-13,21.7,22.53,21.35,22.53,21.7,22.53,21.35,22.53,29855.0,0.0,1.0,1.0,0.0
2020-03-16,21.2,21.2,19.93,19.93,21.2,21.2,19.93,19.93,1500.0,0.0,1.0,1.0,0.0
2020-03-17,20.36,20.36,20.36,20.36,20.36,20.36,20.36,20.36,100.0,0.0,1.0,1.0,0.0
2020-03-18,19.5,19.58,19.33,19.58,19.5,19.58,19.33,19.58,7187.0,0.0,1.0,1.0,0.0
2020-03-19,19.9,20.06,19.9,20.06,19.9,20.06,19.9,20.06,500.0,0.0,1.0,1.0,0.0
2020-03-20,20.29,20.39,19.39,19.39,20.29,20.39,19.39,19.39,32100.0,0.0,1.0,1.0,0.0
2020-03-23,18.83,19.44,18.74,19.11,18.83,19.44,18.74,19.11,37451.0,0.0,1.0,1.0,0.0
2020-03-24,19.76,20.55,19.75,20.55,19.76,20.55,19.75,20.55,24300.0,0.0,1.0,1.0,0.0
