Date,Fundflow
2013-09-26, 0.0
2013-09-29, 0.0
2013-09-30, 0.0
2013-10-01, 0.0
2013-10-02, 0.0
2013-10-03, 0.0
2013-10-06, 0.0
2013-10-07, 0.0
2013-10-08, 0.090018
2013-10-09, 0.0
2013-10-10, 0.0
2013-10-13, 0.0
2013-10-14, 0.0
2013-10-15, 0.0
2013-10-16, 0.0
2013-10-17, 0.0
2013-10-20, 0.0
2013-10-21, 0.0
2013-10-22, 0.0
2013-10-23, 0.0
2013-10-24, 0.0
2013-10-27, 0.002502
2013-10-28, 0.0
2013-10-29, 0.0
2013-10-30, 0.0
2013-10-31, 0.0
2013-11-03, 0.0
2013-11-04, 0.0
2013-11-05, 0.0
2013-11-06, 0.0
2013-11-07, 0.0
2013-11-10, 0.0
2013-11-11, 0.0
2013-11-12, 0.0
2013-11-13, 0.0
2013-11-14, 0.0
2013-11-17, 0.0
2013-11-18, 0.0
2013-11-19, 0.0
2013-11-20, 0.0
2013-11-21, 0.0
2013-11-24, 0.02505
2013-11-25, 0.0
2013-11-26, 0.0
2013-11-28, 0.0
2013-12-01, 0.0025055
2013-12-02, 0.0
2013-12-03, 0.0
2013-12-04, 0.0
2013-12-05, 0.015024
2013-12-08, 0.0025035
2013-12-09, 0.0025045
2013-12-10, 0.0
2013-12-11, 0.005009
2013-12-12, 0.0
2013-12-15, 0.0025035
2013-12-16, 0.0
2013-12-17, 0.0075135
2013-12-18, 0.0
2013-12-19, 0.002504
2013-12-22, 0.0
2013-12-23, 0.002504
2013-12-25, 0.002504
2013-12-26, 0.0
2013-12-29, 0.0
2013-12-30, 0.0
2014-01-01, 0.0
2014-01-02, 0.0
2014-01-05, 0.0025045
2014-01-06, 0.0
2014-01-07, 0.0
2014-01-08, 0.0075135
2014-01-09, 0.002505
2014-01-12, 0.002506
2014-01-13, 0.0
2014-01-14, 0.002507
2014-01-15, 0.0
2014-01-16, 0.0
2014-01-20, 0.002507
2014-01-21, 0.002507
