Date,Fundflow
2014-03-05, 0.0
2014-03-06, 5.972e-08
2014-03-09, 0.0
2014-03-10, 0.0
2014-03-11, 0.0
2014-03-12, 0.0
2014-03-13, 0.0
2014-03-16, 0.0
2014-03-17, 0.0
2014-03-18, 0.0
2014-03-19, 0.0
2014-03-20, 0.0
2014-03-23, 0.0
2014-03-24, 0.0
2014-03-25, 0.0
2014-03-26, 0.0
2014-03-27, 0.0
2014-03-30, 0.0
2014-03-31, 0.0
2014-04-01, 0.0
2014-04-02, 0.0
2014-04-03, 0.0
2014-04-06, 0.0
2014-04-07, 0.0
2014-04-08, 0.0
2014-04-09, 0.0
2014-04-10, 0.0
2014-04-13, 0.0
2014-04-14, 0.0
2014-04-15, 0.0
2014-04-16, 0.0
2014-04-20, 0.0
2014-04-21, 0.0
2014-04-22, 0.0
2014-04-23, 0.0
2014-04-24, 0.0
2014-04-27, 0.0
2014-04-28, 0.0
2014-04-29, -0.005738
2014-04-30, 0.0
2014-05-01, 0.0
2014-05-04, 0.0
2014-05-05, 0.0
2014-05-06, 0.0
2014-05-07, 0.0
2014-05-08, 0.0
2014-05-11, 0.0
2014-05-12, 0.0
2014-05-13, 0.0
2014-05-14, 0.0
2014-05-15, 0.0
2014-05-18, 0.0
2014-05-19, 0.0
2014-05-20, 0.0
2014-05-21, -0.002871
2014-05-22, 0.0
2014-05-26, 0.0
2014-05-27, 0.0
2014-05-28, 0.0
2014-05-29, 0.0
2014-06-01, 0.0
2014-06-02, 0.0
2014-06-03, 0.0
2014-06-04, 0.0
2014-06-05, 0.0
2014-06-08, 0.0
2014-06-09, 0.0
2014-06-10, 0.0
2014-06-11, 0.0
2014-06-12, 0.0
2014-06-15, 0.0
2014-06-16, 0.0
2014-06-17, 0.0
2014-06-18, 0.0
2014-06-19, 0.0
2014-06-22, 0.0
2014-06-23, 0.0
2014-06-24, 0.0
2014-06-25, 0.0
2014-06-26, 0.0
2014-06-29, 0.0
2014-06-30, 0.0
2014-07-01, 0.0
2014-07-02, 0.0
2014-07-06, 0.0
2014-07-07, 0.0
2014-07-08, 0.0
2014-07-09, 0.0
2014-07-10, 0.0
2014-07-13, 0.0
2014-07-14, 0.0
2014-07-15, 0.0
2014-07-16, 0.0
2014-07-17, 0.0
2014-07-20, 0.0
2014-07-21, 0.0
2014-07-22, 0.0
2014-07-23, 0.0
2014-07-24, 0.0
2014-07-27, 0.0
2014-07-28, 0.0
2014-07-29, 0.0
2014-07-30, 0.0
2014-07-31, 0.0
2014-08-03, 0.0
2014-08-04, 0.0
2014-08-05, 0.0
2014-08-06, 0.0
2014-08-07, 0.0
2014-08-10, 0.0
2014-08-11, 0.0
2014-08-12, 0.0
2014-08-13, 0.0
